ra_epoch2000,dec_epoch2000,Source,Gmag,parallax,parallax_error,bp_rp,teff_val,a_g_val,e_bp_min_rp_val
113.1539474847907,-13.504617468154,3033342574316685184,18.192,1.9186,0.1787,2.916018,,,
113.4339404403944,-13.5043918087884,3033331063802172160,19.606,2.1067,0.4127,2.805964,,,
113.5467062195461,-13.4951854983426,3033350751932054400,19.575,2.3026,0.405,2.769035,,,
115.8576474607873,-14.2617813439664,3029639144277079808,19.676,-0.3954,0.4833,2.016821,,,
115.8747071636571,-14.274350323179,3029638873692439168,19.939,0.3992,0.5714,2.160109,,,
115.7648362367123,-14.2395717912491,3029639767051044736,19.723,1.2247,0.423,1.956554,,,
115.8784990257368,-14.2848470915783,3029638491442024320,19.59,1.7707,0.6071,2.602478,,,
115.7143470575567,-14.2062119794411,3029643065578553600,19.576,0.3318,0.4002,2.058161,,,
115.7639536259621,-14.2491259753042,3029639762752383360,19.698,0.8104,0.46,1.944887,,,
115.5069678832793,-14.5165892116251,3029604994997024512,15.273,0.6398,0.0358,0.842728,5765.75,,
115.5316595435034,-14.6136716873195,3029591457255018752,19.386,0.6241,0.4469,2.193272,,,
115.5660517165181,-14.6653076554391,3029590254664173568,19.49,-0.2104,0.4416,2.286202,,,
115.6587016010187,-14.7417327868397,3029585959701961984,14.682,0.6195,0.0297,0.689595,6572.5,0.3197,0.133
115.4889397520005,-14.3497423802207,3029611798224114176,18.92,0.7134,0.2483,2.158484,,,
115.5572716372173,-14.6158104540844,3029591285461422080,15.253,0.5943,0.0374,0.831181,5766.0,0.454,0.1993
115.5897304997748,-14.4568081126587,3029607022221485184,14.307,0.5997,0.0276,0.652505,6784.67,0.929,0.4778
115.6450150726755,-14.3746466325956,3029613855507717120,18.073,0.4228,0.1512,1.429123,,,
115.7570305894598,-14.2840687575886,3029615990112105856,14.999,0.6263,0.035,0.765275,5664.95,0.263,0.155
115.4964357932332,-14.3491093677784,3029611828280903936,19.668,1.2017,0.4035,1.91036,,,
115.5963163186301,-14.6360137752074,3029590770065331200,17.361,0.616,0.0978,1.251513,,,
115.4609215546221,-14.4744780757426,3029608293530824064,15.497,0.5586,0.0363,1.003078,5315.5,,
115.5140739724165,-14.5099280962321,3029605029356756480,14.841,0.5659,0.0314,0.763597,5520.0,,
115.9464304532995,-14.3138294773762,3029626053216702592,19.174,0.338,0.3894,2.539902,,,
115.750903321435,-14.6824658846761,3029587849487452928,16.553,0.4896,0.0638,1.045662,5032.42,0.62,0.307
115.8542300716672,-14.3864934752371,3029602624174661376,14.609,0.6422,0.0294,0.683371,6450.5,0.265,0.1297
115.5005125918656,-14.5761250424688,3029603581945133568,19.297,0.5466,0.4116,1.801407,,,
115.4400849795809,-14.4532074132023,3029608602768470528,13.305,0.6056,0.0203,0.384308,7879.5,0.7885,0.386
115.4510836910637,-14.4709928080212,3029608499689255552,17.114,0.5449,0.0773,1.231756,,,
115.6776610771694,-14.7237078656006,3029585994056464000,19.558,-0.1363,0.3873,1.991678,,,
115.4692696258505,-14.5046598234076,3029605166794634624,17.327,0.5993,0.0904,1.279478,,,
116.0248729683056,-14.4626694981686,3029620761818220288,19.696,1.5319,0.5781,2.178738,,,
115.4674294497834,-14.4650707365068,3029608323589484800,19.55,0.612,0.3367,1.971558,,,
116.0258140868454,-14.4628317336044,3029620761818220160,19.845,0.7892,0.6853,2.527557,,,
115.6003268756125,-14.718779734717,3029586921774660736,16.62,0.5587,0.0709,1.240306,4847.67,0.99,0.4875
115.6338056133296,-14.7496764586839,3029585886681950592,19.645,1.2904,0.4893,1.941519,,,
115.695166571588,-14.7473840211412,3029585714880551040,19.091,0.9478,0.2874,2.120747,,,
115.8550922601148,-14.4691968010045,3029598015667970688,18.955,0.476,0.3172,2.247337,,,
115.669728894929,-14.7470998434227,3029585749240289536,18.42,0.7098,0.207,1.591291,,,
115.4752063614652,-14.409728603148,3029610973590406272,13.62,0.5704,0.0214,0.586962,6982.8,1.232,0.6275
115.5022352892107,-14.4576935963144,3029609770999563648,14.558,0.5759,0.0256,0.725263,6101.52,1.0245,0.5263
115.4876479784349,-14.4291139478057,3029610148956685312,14.312,0.5803,0.0252,0.65857,6611.0,0.89,0.43
115.6152071928919,-14.4454807212472,3029606399446191232,19.632,0.3976,0.4651,2.321825,,,
115.4963129280437,-14.5041474641165,3029605201150316416,19.899,1.3954,0.5236,1.984688,,,
115.4607885474562,-14.4423266448719,3029610080237214464,13.878,0.5845,0.0223,0.49005,7287.59,0.6285,0.29
115.4333142216673,-14.4009006386437,3029611145389104384,17.525,0.5985,0.0969,1.347284,,,
115.4517020604475,-14.43058719458,3029610836151459328,19.773,0.3369,0.4677,2.035456,,,
115.6503149975609,-14.6308693262784,3029590666986067968,12.987,0.6132,0.0344,0.295137,8786.25,0.639,0.3037
115.7158790985885,-14.7365894403901,3029586097140865792,10.672,0.5309,0.0442,0.08557,9464.33,0.637,0.3055
115.4850525903192,-14.3372274292371,3029611897005726464,18.99,0.8759,0.2263,2.029326,,,
115.6869476524923,-14.4901336572416,3029600115913993728,14.847,0.5929,0.0351,0.725357,6090.55,0.1143,0.0512
115.6578702260074,-14.6403650587859,3029587712048567168,17.335,0.4747,0.0984,1.251858,,,
115.4886103757442,-14.5102062822687,3029605196853125632,18.81,0.7552,0.2485,1.730791,,,
115.7130231856058,-14.5231189794397,3029593209606577536,15.751,0.5832,0.0474,0.886408,5718.62,0.209,0.1005
115.6977485979228,-14.4473171467909,3029612107462646400,16.441,0.6428,0.0593,1.0278,5115.91,0.1188,0.074
115.4787314456745,-14.5426531850202,3029604853255590400,19.164,1.0569,0.3658,1.831322,,,
115.6559445266066,-14.6301025601231,3029590666986064000,13.475,0.5943,0.0233,0.366184,8106.25,,
115.6150059635827,-14.3857371353717,3029613447491527808,15.953,0.5592,0.0471,0.931152,5411.0,0.395,0.1705
115.5021513123929,-14.5139224492417,3029604994991887232,19.861,0.4653,0.4799,2.318956,,,
115.5734570701767,-14.5569991585045,3029592105792600960,18.472,0.482,0.2157,1.737473,,,
115.8488227600347,-14.6133969004171,3029594377837595648,15.716,0.5946,0.043,0.859851,5656.25,0.1985,0.0763
115.7798198988958,-14.5037682407369,3029598982042537856,16.858,0.6179,0.0764,1.126219,5114.0,,
115.8955608880555,-14.5655220610136,3029594923291118976,18.933,0.6564,0.2578,1.769928,,,
115.8396756339725,-14.5983062127859,3029594446557072000,13.727,0.5934,0.0225,0.424588,7694.0,,
115.4202660210436,-14.4874741608155,3029608357947393152,19.773,1.0591,0.4509,2.189823,,,
115.8277754442979,-14.5715535328776,3029594820214170496,19.6,0.7592,0.4234,1.956064,,,
