#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],plate,mjd,fiber
spec-8506-57893-0516.fits,sdssdr12,-80.13166666,M5,0.5,8506,57893,516
spec-7702-58017-0698.fits,sdssdr12,-86.54166666,M5,0.5,7702,58017,698
spec-7651-57654-0312.fits,sdssdr12,0.131666667,M5,0.5,7651,57654,312
spec-7288-57039-0573.fits,sdssdr12,-94.29333333,M3,0.5,7288,57039,573
spec-7667-57580-0877.fits,sdssdr12,-109.795,G9,-1.5,7667,57580,877
spec-7512-56777-0599.fits,sdssdr12,-30.5175,G4,-0.5,7512,56777,599
spec-0817-52381-0163.fits,sdssdr12,-8.155,M5,0.5,817,52381,163
spec-7597-56973-0156.fits,sdssdr12,14.48,M3,0.5,7597,56973,156
spec-7308-56709-0506.fits,sdssdr12,-19.22833333,K4,-1,7308,56709,506
spec-10240-58158-0816.fits,sdssdr12,118.725,K5,-2,10240,58158,816
spec-7734-58133-0053.fits,sdssdr12,-156.17,F6,-1.5,7734,58133,53
spec-1616-53169-0120.fits,sdssdr12,-113.375,F2,-1.5,1616,53169,120
spec-1216-52709-0493.fits,sdssdr12,-10.43333333,F2,-1.5,1216,52709,493
spec-7379-56713-0280.fits,sdssdr12,-43.71,K5,-0.5,7379,56713,280
spec-7291-56992-0519.fits,sdssdr12,51.91166667,M3,0.5,7291,56992,519
spec-7401-56808-0984.fits,sdssdr12,-166.575,K4+M1,0,7401,56808,984
spec-7376-56749-0140.fits,sdssdr12,11.64,M4,0.5,7376,56749,140
spec-8229-57430-0156.fits,sdssdr12,-98.015,A8,0.5,8229,57430,156
spec-11350-58455-0669.fits,sdssdr12,-56.77,M5,0.5,11350,58455,669
spec-7306-56684-0456.fits,sdssdr12,3.778333333,M3,0.5,7306,56684,456
spec-10915-58257-0072.fits,sdssdr12,-136.9566667,K3+WD2,0,10915,58257,72
spec-7308-56709-0156.fits,sdssdr12,-49.82,K7+WD2,0,7308,56709,156
spec-8168-56992-0794.fits,sdssdr12,-104.7475,F7,-1,8168,56992,794
spec-7424-57160-0171.fits,sdssdr12,-20.37833333,M5,0.5,7424,57160,171
